,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7755102040816326,0.37333333333333335,0.5957446808510638,0.45901639344262296,0.7854251012145749
Decision Tree,0.7653061224489796,0.3103448275862069,0.3829787234042553,0.34285714285714286,0.6320096476871393
Random Forest,0.8333333333333334,0.4642857142857143,0.2765957446808511,0.3466666666666667,0.7846498406408821
XGBoost,0.8707482993197279,0.6666666666666666,0.3829787234042553,0.4864864864864865,0.8115255405289001
